video_id,comment
bCSiFL3PdsA,What are your thoughts on my take?
bCSiFL3PdsA,"Nothing can beat their software and camera for this price though
A15 is currently the best and most value for money budget phone for it's price"
bCSiFL3PdsA,"I will never use a Tecno or infinix ever again in my life, it's all hype, their phones are always buggy"
bCSiFL3PdsA,"Not bad fr, I'd pick Samsung over Tecno"
bCSiFL3PdsA,"It's not just specs
if people could pay an extra $20-$40 for 5years of software update on a tecno or infinix they probably would
samsung also has better build quality, better software, better experience and confidence in the brand name
the resale value of a samsung is better too."
bCSiFL3PdsA,"I will still buy Samsung because of 4 Year software 
up to Android 18 and people say bad Tecno software 😐"
bCSiFL3PdsA,"whatever the situation. Samsung is what I'll always choose. Whichever variety you purchase, you will find excellent use for it. 🎉"
bCSiFL3PdsA,"The fact that it a tecno phone,  it kind of ""devalue"" the phone ...
People will still buy the samsung bcos of brand name"
bCSiFL3PdsA,Don't compare tecno to the legendary samsung
bCSiFL3PdsA,My opinion I would still pick samsung tecno software is not good
bCSiFL3PdsA,"Why avoid Samsung Galaxy A25 and Galaxy A15? Most likely because these two models have 
3.5 mm headphone jacks and the majority of Samsung phones now are upper end ones with no 3.5 mm headphone jacks. I was told by some sales people that  Samsung is pushing mostly expensive phones without 3.5 mm headphone jacks so you can buy their bluetooth ear buds etc., some very expensive. I have three Samsung phones A14 4g and A15 5g and I absolutely love them!!  I get to use my regular headsets- no thanks to earbuds as well."
bCSiFL3PdsA,"Software tramples Hardware all the time. With a samsung phone like a15 you will get until android 18. With tecno you will stay on android 13 for as long as you have the phone meaning you will be outdated for a while. A tecno can come with a curved screen, 65W charging speed but I'd still take a Samsung with a u-shaped notch and a 25w charger. I do not hate tecno or infinix or other specs-filled devices competing with samsung but I have never heard someone say that it was the best phone they have ever had."
bCSiFL3PdsA,"Hello Oscar, i think you're actually speaking my mind...i'm about to purchase this phone but that notch is so annoying....I'm still contemplating getting it..i wouldn't know something so insignificant in my opinion is really annoying me😂😂"
bCSiFL3PdsA,"Im using Samsung A15, and it's good for me, samsung will always be the best android phone"
bCSiFL3PdsA,They don't provide the extras to reduce the amount of junk filling our landfills. Most people already have one or more chargers and better headphones than the ones often supplied. I'm happy to just get the phone and cable to help reduce pollution.
bCSiFL3PdsA,"For the price , the A25 is a decent smartphone,  much better than a13 phone"
bCSiFL3PdsA,"I have been using Huawei phones all my life, I recently purchased my first Samsung phone and I'm not disappointed at all although I would have preferred to continue the streak of Huawei phones"
bCSiFL3PdsA,But still samsung can definitely do better at least give us back a charger with every phone instead they choose to leave it out of the box.
bCSiFL3PdsA,"Samsung software is stable and reliable. Also, updates are guaranteed for at least 3 years for budget phones. Tecno and the rest have crappy software, and support is very limited. Not to mention the annoying pop-ups and advertisements."
bCSiFL3PdsA,"Samsung really like to overprice the mid range phones, they need to do better"
bCSiFL3PdsA,Samsung made thick frames and notch on purpose so that the customers consider more expensive models
bCSiFL3PdsA,A15 is de'baddest. Did you say Tecno? I upgraded from Infinix to Samsung.
bCSiFL3PdsA,Remember the times when all samsung deviced got free cool in-ear headphones with the phone?
bCSiFL3PdsA,"I was choosing between samsung Galaxy a15 8/256 and realme 11 8/256. Taking into account the price of the samsung charging unit and the case, the price was the same. As a result, I liked Samsung more and bought it yesterday"
bCSiFL3PdsA,It is the higher tier phone from last year at a lower price with minimal diferences.
bCSiFL3PdsA,Samsung have good software better than tecno.Warranty is longer as well.
bCSiFL3PdsA,i cant buy any of those because of that front camera design am fed up of seeing it
bCSiFL3PdsA,"As someone who owns an A24, I'm not compelled to get any of these phones."
